signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,GazeMAE_MLP,GazeMAE_MLP,0,Low valence,0,Low valence,1400,0.7190549563430919
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,GazeMAE_MLP,GazeMAE_MLP,0,Low valence,1,High valence,547,0.2809450436569081
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,GazeMAE_MLP,GazeMAE_MLP,1,High valence,0,Low valence,719,0.4066742081447964
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,GazeMAE_MLP,GazeMAE_MLP,1,High valence,1,High valence,1049,0.5933257918552036
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,0,Low valence,0,Low valence,1269,0.6517719568567026
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,0,Low valence,1,High valence,678,0.34822804314329736
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,1,High valence,0,Low valence,583,0.32975113122171945
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,1,High valence,1,High valence,1185,0.6702488687782805
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,0,Low valence,0,Low valence,1245,0.6394453004622496
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,0,Low valence,1,High valence,702,0.3605546995377504
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,1,High valence,0,Low valence,617,0.34898190045248867
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,1,High valence,1,High valence,1151,0.6510180995475113
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,0,Low valence,0,Low valence,1386,0.711864406779661
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,0,Low valence,1,High valence,561,0.288135593220339
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,1,High valence,0,Low valence,853,0.4824660633484163
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,1,High valence,1,High valence,915,0.5175339366515838
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,0,Low valence,0,Low valence,1414,0.7262455059065228
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,0,Low valence,1,High valence,533,0.27375449409347713
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,1,High valence,0,Low valence,592,0.334841628959276
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,1,High valence,1,High valence,1176,0.665158371040724
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,0,Low valence,0,Low valence,1399,0.7185413456599897
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,0,Low valence,1,High valence,548,0.2814586543400103
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,1,High valence,0,Low valence,670,0.37895927601809953
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,1,High valence,1,High valence,1098,0.6210407239819005
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,0,Low valence,1947,1.0
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,1,High valence,0,0.0
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,0,Low valence,1768,1.0
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,1,High valence,0,0.0
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,0,Low valence,0,Low valence,997,0.5120698510529019
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,0,Low valence,1,High valence,950,0.4879301489470981
