model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
SVM,aggregated,0.4423102971217324,,0.3063957765034085,0.5,0.2391350358824848,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_video-tagging_2026-03-05_16-20-25,0.9996006565560044,,,,,,,,,0.3063957765034085,
LightGBM,aggregated,0.4582216765788226,,0.3119403246306821,0.5,0.2353769997009792,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_video-tagging_2026-03-05_16-20-25,0.9996006565560044,,,,,,,,,0.3119403246306821,
MLP,aggregated,0.4461300755007014,,0.3014835725669987,0.5,0.2261350171936906,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_video-tagging_2026-03-05_16-20-25,0.9996006565560044,,,,,,,,,0.3014835725669987,
GNN,aggregated,0.5995105555471351,,0.3528443632266782,0.5,0.3012519311754005,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_video-tagging_2026-03-05_16-20-25,0.9996006565560044,,,,,,,,,0.3528443632266782,
Mean,aggregated,0.2023809523809523,,0.2023809523809523,0.2023809523809523,0.2023809523809523,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_pooled-tagging_2026-03-05_16-27-51,0.9994793683337232,,,,,,,,,0.2023809523809523,
SVM,aggregated,0.6043617730014706,,0.366094599548279,0.5,0.3028307727697111,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_pooled-tagging_2026-03-05_16-27-51,0.9994793683337232,,,,,,,,,0.366094599548279,
LightGBM,aggregated,0.6004846554952562,,0.3623236168561503,0.5,0.2951293206018021,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_pooled-tagging_2026-03-05_16-27-51,0.9994793683337232,,,,,,,,,0.3623236168561503,
MLP,aggregated,0.6054525124517486,,0.3706468970963524,0.5,0.304065263500511,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_pooled-tagging_2026-03-05_16-27-51,0.9994793683337232,,,,,,,,,0.3706468970963524,
GNN,aggregated,0.5871575316246165,,0.3664612747375039,0.5,0.3121947203140212,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_pooled-tagging_2026-03-05_16-27-51,0.9994793683337232,,,,,,,,,0.3664612747375039,
Mean,aggregated,0.0628853562214586,0.1116666666666666,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_emotion_id_emotion-elicitation_2026-03-05_17-18-13,2.873093583723809,0.0069872618023842,0.05,0.0117618771398416,0.5,0.0123906258305155,0.0628853562214586,0.0199138181843421,0.5,0.0117618771398416,0.5
SVM,aggregated,0.1652014641550763,0.1492800155742062,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_emotion_id_emotion-elicitation_2026-03-05_17-18-13,2.873093583723809,0.0844824681527936,0.058877196509504,0.0443953888319407,0.5124455155471586,0.3934788632891507,0.1652014641550763,0.1828567250673833,0.511588951000211,0.0443953888319407,0.5124455155471586
LightGBM,aggregated,0.1719849158781274,0.1482813143938728,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_emotion_id_emotion-elicitation_2026-03-05_17-18-13,2.873093583723809,0.1188070624888275,0.058469226181856,0.0529452273147643,0.5202542205844587,0.5443617827286801,0.1719849158781274,0.2110182114157379,0.5126674504056885,0.0529452273147643,0.5202542205844587
MLP,aggregated,0.1845991618735059,0.1525648661258158,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_emotion_id_emotion-elicitation_2026-03-05_17-18-13,2.873093583723809,0.1042772394654445,0.0595068701298976,0.0538030870625955,0.5257463290399579,0.4891065754514002,0.1845991618735059,0.2199101597109597,0.508888340898427,0.0538030870625955,0.5257463290399579
GNN,aggregated,0.2070446741558314,0.1703531114237707,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_emotion_id_emotion-elicitation_2026-03-05_17-18-13,2.873093583723809,0.1010747894558283,0.0663992459309359,0.058284186255078,0.5171104964843768,0.4841059283755227,0.2070446741558314,0.2394020749640676,0.5051048545460674,0.058284186255078,0.5171104964843768
Mean,aggregated,0.1868360414317019,0.2083333333333333,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_va_quadrant_emotion-elicitation_2026-03-05_17-37-39,1.9527963303577969,0.0467090103579254,0.1625,0.0611503944714502,0.5,0.1086354527535977,0.1868360414317019,0.1290705049776026,0.5,0.0611503944714502,0.5
SVM,aggregated,0.3824636394721351,0.3031189159650483,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_va_quadrant_emotion-elicitation_2026-03-05_17-37-39,1.9527963303577969,0.2833642621131955,0.2324897152207606,0.1997552521506544,0.5673703684256299,0.5584841320141101,0.3824636394721351,0.3913715690234897,0.5569766591215822,0.1997552521506544,0.5673703684256299
LightGBM,aggregated,0.3858816890228486,0.3180327450977021,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_va_quadrant_emotion-elicitation_2026-03-05_17-37-39,1.9527963303577969,0.3116486854805913,0.2430174885894553,0.2230490783257935,0.5731552444275377,0.592419852542333,0.3858816890228486,0.4098538679919382,0.5696474861660988,0.2230490783257935,0.5731552444275377
MLP,aggregated,0.3833260784616498,0.3214935514716734,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite_FULL/2026-03-05_13-25-29/multiclass_va_quadrant_emotion-elicitation_2026-03-05_17-37-39,1.9527963303577969,0.2997937349958587,0.2462862374327368,0.2327009155988431,0.5813555219783316,0.575277481774642,0.3833260784616498,0.4179937404633611,0.5824186644970512,0.2327009155988431,0.5813555219783316
