experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,metric_type,metric,n_folds,mean,std,min,max
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,weighted_auc_ovr,22,0.6419096679086403,0.06672748294985324,0.5386233193099565,0.7733725980638835
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,weighted_f1,22,0.43769611860651453,0.0906860544678727,0.2815886778018615,0.5638501774320861
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,weighted_precision,22,0.4691739354324163,0.1124040129358547,0.2085027418110548,0.6293650793650793
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,weighted_recall,22,0.5069599255133835,0.0721646396202369,0.3381818181818182,0.625
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,accuracy,22,0.5016508976930475,0.06371242388300868,0.3454545454545454,0.5944700460829493
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,balanced_accuracy,22,0.40901050172746234,0.03817890634272992,0.3226577081000373,0.4708555074155407
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,loss,22,1.013145018707622,0.11490049767076412,0.8519842624664307,1.3666539788246157
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,macro_auc_ovr,22,0.6646685782852653,0.04890829786911788,0.5851246479892119,0.761450778953115
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,macro_f1,22,0.35233109309886906,0.06598366963939688,0.1971428571428571,0.4456266243693624
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,macro_precision,22,0.4003704115666428,0.12068607581637596,0.146417445482866,0.6376725643306645
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,macro_recall,22,0.40901050172746234,0.03817890634272992,0.3226577081000373,0.4708555074155407
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,weighted_auc_ovr,22,0.6590082196482417,0.05376195015932531,0.5629963342936781,0.7630661603120925
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,weighted_f1,22,0.4364539669501201,0.09198862692691225,0.2460809102402022,0.5577495892622009
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,weighted_precision,22,0.4689377123905979,0.12675364706691775,0.1929426150755524,0.684394051304374
