experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,2,Pleasant,1,Neutral valence,388,0.22070534698521047
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,2,Pleasant,2,Pleasant,524,0.29806598407281
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,0,Unpleasant,0,Unpleasant,950,0.49634273772204807
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,0,Unpleasant,1,Neutral valence,252,0.13166144200626959
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,0,Unpleasant,2,Pleasant,712,0.3719958202716823
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,1,Neutral valence,0,Unpleasant,466,0.342143906020558
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,1,Neutral valence,1,Neutral valence,529,0.38839941262848754
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,1,Neutral valence,2,Pleasant,367,0.26945668135095446
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,2,Pleasant,0,Unpleasant,824,0.46871444823663255
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,2,Pleasant,1,Neutral valence,132,0.07508532423208192
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GazeMAE_MLP,GazeMAE_MLP,2,Pleasant,2,Pleasant,802,0.45620022753128553
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,0,Unpleasant,0,Unpleasant,1071,0.5595611285266457
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,0,Unpleasant,1,Neutral valence,200,0.1044932079414838
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,0,Unpleasant,2,Pleasant,643,0.33594566353187044
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,1,Neutral valence,0,Unpleasant,389,0.2856093979441997
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,1,Neutral valence,1,Neutral valence,546,0.4008810572687225
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,1,Neutral valence,2,Pleasant,427,0.3135095447870778
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,2,Pleasant,0,Unpleasant,671,0.38168373151308305
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,2,Pleasant,1,Neutral valence,207,0.11774744027303755
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,2,Pleasant,2,Pleasant,880,0.5005688282138794
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,0,Unpleasant,0,Unpleasant,1042,0.5444096133751306
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,0,Unpleasant,1,Neutral valence,252,0.13166144200626959
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,0,Unpleasant,2,Pleasant,620,0.3239289446185998
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,1,Neutral valence,0,Unpleasant,452,0.33186490455212925
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,1,Neutral valence,1,Neutral valence,301,0.2209985315712188
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,1,Neutral valence,2,Pleasant,609,0.44713656387665196
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,2,Pleasant,0,Unpleasant,678,0.3856655290102389
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,2,Pleasant,1,Neutral valence,246,0.13993174061433447
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,2,Pleasant,2,Pleasant,834,0.47440273037542663
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,0,Unpleasant,0,Unpleasant,1084,0.5663531870428422
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,0,Unpleasant,1,Neutral valence,212,0.11076280041797283
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,0,Unpleasant,2,Pleasant,618,0.322884012539185
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,1,Neutral valence,0,Unpleasant,417,0.30616740088105726
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,1,Neutral valence,1,Neutral valence,570,0.4185022026431718
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,SVM,SVM,1,Neutral valence,2,Pleasant,375,0.2753303964757709
