config,strategy,run_dir,timestamp,mse,mae,sd_error,r2,pearson_r,window_length,kt,ks,hidden_channels,use_preprocess_mlp,add_self_loops
config_0017,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-37-07,2025-12-30_21-37-07,13.943857860565185,3.181591296195984,3.1147943,-1.97304465174675,0.032573327,10,8,6,512,False,False
config_0037,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-57-54,2025-12-30_22-57-54,13.9674729347229,3.1740916967391968,3.1458843,-2.0992470026016234,0.027633032,5,2,4,128,True,True
config_0004,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-24-16,2025-12-30_20-24-16,14.033276081085203,3.236730623245239,3.5145366,-0.9405210077762604,0.07002647,60,19,3,32,True,False
config_0047,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-30-16,2025-12-30_23-30-16,14.16965537071228,3.219008135795593,3.123027,-2.197929400205612,0.03203983,10,13,1,512,True,True
config_0011,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-09-45,2025-12-30_21-09-45,14.273144912719726,3.2108782052993776,3.1547768,-1.9188458383083344,0.04411101,30,6,3,128,True,False
config_0000,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_19-54-10,2025-12-30_19-54-10,14.341197156906128,3.2171020030975344,3.1450121,-2.174275481700897,0.040231258,5,1,6,128,True,True
config_0013,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-16-08,2025-12-30_21-16-08,14.400238800048829,3.251377081871033,3.1894639,-2.664505743980408,-0.0088518495,60,13,3,512,True,False
config_0005,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-25-24,2025-12-30_20-25-24,14.565475177764892,3.276295161247253,3.136551,-2.886490172147751,0.017149525,30,9,2,64,False,True
config_0016,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-30-46,2025-12-30_21-30-46,14.878277111053468,3.2841957569122315,3.1502235,-3.2398734986782074,0.02862737,60,29,6,256,True,False
config_0036,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-54-27,2025-12-30_22-54-27,15.107153606414794,3.328017902374268,3.185713,-2.683074140548706,-0.043588415,60,12,4,256,False,True
config_0025,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-14-09,2025-12-30_22-14-09,15.145519065856934,3.3566007375717164,3.1739864,-3.2423157811164858,-0.029622952,60,1,1,128,False,True
config_0043,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-18-42,2025-12-30_23-18-42,15.164387035369874,3.3596663951873778,3.1742868,-3.255266386270523,-0.031077266,60,9,4,128,False,False
config_0042,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-16-35,2025-12-30_23-16-35,15.330704975128176,3.374318480491638,3.1393816,-3.5802741169929506,-0.011200495,60,29,1,64,False,True
config_0018,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-42-44,2025-12-30_21-42-44,15.339019203186036,3.37522234916687,3.139652,-3.5844101548194884,-0.011459517,60,12,2,64,False,True
config_0034,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-51-05,2025-12-30_22-51-05,15.344662380218503,3.3759423017501837,3.1397529,-3.588761633634568,-0.011736969,60,7,5,64,False,True
config_0004,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-24-16,2025-12-30_20-24-16,15.369464683532716,3.44182767868042,3.0814414,-3.990647977590561,0.0068957508,60,19,3,32,True,False
config_0035,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-52-15,2025-12-30_22-52-15,15.496438789367676,3.3720947027206423,3.1784968,-3.451068079471588,-0.034575846,60,26,4,64,True,True
config_0030,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-35-20,2025-12-30_22-35-20,15.501947116851806,3.369499087333679,3.1789136,-3.440884333848953,-0.033169426,60,4,2,64,True,False
